target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.08,1173,0.028,0.058,0.02,-0.039
K1Nb1O3,0.0,K2CO3 + Nb2O5 -> 2 KNbO3 + CO2,-0.082,1198,0.028,0.059,0.02,-0.039
K1Nb3O8,0.0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.08,1073,0.019,0.034,0.008,0.001
K1Nb3O8,0.0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.086,1173,0.022,0.038,0.01,0.001
K1Nb3O8,0.0,K2CO3 + 3 Nb2O5 -> CO2 + 2 KNb3O8,-0.098,1373,0.028,0.046,0.013,0.002
Hf1O4Ti1,0.035,TiO2 + HfO2 -> HfTiO4,-0.016,1973,-0.016,0.0,-0.011,-0.011
Hf1O4Ti1,0.035,TiO2 + HfO2 -> HfTiO4,0.008,1073,0.008,0.0,0.005,0.005
Hf1O4Ti1,0.035,TiO2 + HfO2 -> HfTiO4,-0.005,1573,-0.005,0.0,-0.004,-0.004
Na2O4Os1,0.0,OsO2 + Na2O2 -> Na2OsO4,-0.448,1173,0.064,0.657,0.149,0.149
Na1O3Os1,0.0,OsO2 + 0.5 Na2O2 -> NaOsO3,-0.327,1073,0.182,0.779,0.268,0.274
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.048,1673,0.046,0.047,0.031,0.031
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.05,1873,0.048,0.049,0.033,0.033
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.047,1473,0.044,0.045,0.03,0.03
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.045,1073,0.039,0.042,0.027,0.027
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.048,1573,0.045,0.046,0.031,0.031
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.049,1773,0.047,0.048,0.032,0.032
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.048,1623,0.046,0.047,0.031,0.031
O7Ti2Y2,0.009,Y2O3 + 2 TiO2 -> Y2Ti2O7,-0.047,1423,0.043,0.045,0.029,0.029
O9Ti3Y2,0.045,Y2O3 + 3 TiO2 -> Y2Ti3O9,-0.011,1823,0.086,0.065,0.064,0.064
Ba1O3U1,0.0,UO2 + BaCO3 -> CO2 + BaUO3,-0.108,1773,0.449,0.557,0.391,0.284
Fe2Mo3O12,0.0,MoO3 + 0.3333 Fe2O3 -> 0.3333 Fe2(MoO4)3,-0.108,1123,-0.107,0.0,-0.077,-0.077
Fe2Mo3O12,0.0,MoO3 + 0.3333 Fe2O3 -> 0.3333 Fe2(MoO4)3,-0.102,1023,-0.102,0.0,-0.073,-0.073
Fe1In1O3,0.047,In2O3 + Fe2O3 -> 2 InFeO3,0.004,1073,0.004,0.0,0.003,-0.041
Fe2In1O4,0.093,In2O3 + 2 Fe2O3 -> 0.5 O2 + 2 In(FeO2)2,0.132,1273,0.135,0.002,0.097,0.097
Fe1Nd1O3,0.0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.066,1473,0.006,0.048,0.006,0.006
Fe1Nd1O3,0.0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.062,1273,0.003,0.042,0.004,0.004
Fe1Nd1O3,0.0,Nd2O3 + Fe2O3 -> 2 NdFeO3,-0.07,1623,0.009,0.051,0.008,0.008
Al1O3Pr1,0.0,Pr2O3 + Al2O3 -> 2 PrAlO3,-0.071,1923,-0.019,0.046,-0.009,-0.009
O3Os1Sr1,0.061,OsO2 + SrO -> SrOsO3,-0.123,1073,0.348,0.474,0.309,0.309
Ga5Gd3O12,0.0,Ga2O3 + 0.6 Gd2O3 -> 0.4 Gd3Ga5O12,-0.144,1923,-0.034,0.044,-0.03,-0.03
Ga5Gd3O12,0.0,Ga2O3 + 0.6 Gd2O3 -> 0.4 Gd3Ga5O12,-0.119,1373,-0.035,0.029,-0.03,-0.03
Ca3O8P2,0.0,CaCO3 + Ca2P2O7 -> CO2 + Ca3(PO4)2,-0.07,1100,-0.024,0.0,-0.025,-0.027
O4Pb1W1,0.0,PbO + WO3 -> PbWO4,-0.178,1073,-0.046,0.06,-0.037,-0.05
Be2Ge1O4,0.0,BeO + 0.5 GeO2 -> 0.5 Be2GeO4,-0.042,1000,-0.042,0.0,-0.03,-0.03
Nd2O7Zr2,0.0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.125,1773,-0.125,0.0,-0.09,-0.09
Nd2O7Zr2,0.0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.129,1873,-0.129,0.0,-0.093,-0.093
Nd2O7Zr2,0.0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.12,1673,-0.12,0.0,-0.086,-0.086
Nd2O7Zr2,0.0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.134,1973,-0.134,0.0,-0.096,-0.096
Nd2O7Zr2,0.0,ZrO2 + 0.5 Nd2O3 -> 0.5 Nd2Zr2O7,-0.092,1073,-0.092,0.0,-0.067,-0.068
Nd2O19Zr8,0.144,Nd2O3 + 8 ZrO2 -> Nd2Zr8O19,0.052,1723,0.175,0.092,0.132,0.071
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.011,1473,0.026,0.035,0.023,0.008
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.008,1448,0.025,0.031,0.021,0.009
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.002,1373,0.02,0.019,0.016,0.01
Ba1Fe12O19,0.055,Ba(FeO2)2 + 5 Fe2O3 -> BaFe12O19,0.015,1073,0.02,0.004,0.015,0.015
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.028,1673,0.045,0.065,0.039,0.004
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.019,1573,0.036,0.051,0.031,0.006
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.015,1173,0.015,0.0,0.011,0.011
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.006,1423,0.023,0.027,0.019,0.009
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.006,1273,0.013,0.005,0.01,0.01
Ba1Fe12O19,0.055,BaO2 + 6 Fe2O3 -> 0.5 O2 + BaFe12O19,-0.036,1353,0.139,0.255,0.144,0.01
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.02,1588,0.037,0.053,0.032,0.006
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.011,1223,0.011,0.0,0.008,0.008
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.024,1623,0.04,0.058,0.035,0.005
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.002,1323,0.016,0.011,0.013,0.011
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.015,1523,0.031,0.043,0.027,0.007
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.017,1548,0.033,0.047,0.029,0.007
Ba1Fe12O19,0.055,BaO2 + 6 Fe2O3 -> 0.5 O2 + BaFe12O19,0.007,773,0.085,0.107,0.079,0.018
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.007,1433,0.024,0.028,0.02,0.009
Ba1Fe12O19,0.055,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.084,373,0.084,0.0,0.06,0.044
Ba2Fe2O5,0.0,Fe2O3 + 2 BaCO3 -> Ba2Fe2O5 + 2 CO2,0.01,1473,0.047,0.026,0.035,-0.023
Co1O4W1,0.0,WO3 + CoCO3 -> CO2 + CoWO4,-0.136,1073,0.063,0.199,0.07,-0.054
Mg1O3Si1,0.006,MgO + SiO2 -> MgSiO3,-0.026,773,0.04,0.033,0.027,0.012
Mg1O3Si1,0.006,MgCO3 + SiO2 -> MgSiO3 + CO2,-0.197,1773,0.075,0.198,0.066,0.038
Mg1O3Si1,0.006,MgO + SiO2 -> MgSiO3,0.005,1903,0.056,0.025,0.039,0.039
Mg1O3Si1,0.006,MgO + SiO2 -> MgSiO3,-0.018,1073,0.044,0.031,0.031,0.031
Mg1O3Si1,0.006,MgO + SiO2 -> MgSiO3,-0.0,1723,0.053,0.027,0.037,0.037
Mg2O4Si1,0.0,SiO2 + 2 MgO -> Mg2SiO4,-0.057,1423,-0.038,0.0,-0.03,-0.393
Mg2O4Si1,0.0,SiO2 + 2 MgO -> Mg2SiO4,-0.055,1623,-0.038,0.0,-0.03,-0.379
Mg2O4Si1,0.0,SiO2 + 2 MgO -> Mg2SiO4,-0.057,1473,-0.038,0.0,-0.03,-0.389
Mg2O4Si1,0.0,Mg(HO)2 + 0.5 SiO2 -> H2O + 0.5 Mg2SiO4,-0.093,1073,-0.017,0.005,-0.023,-0.415
Mg2O4Si1,0.0,SiO2 + 2 MgO -> Mg2SiO4,-0.051,1873,-0.039,0.0,-0.03,-0.339
