target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.014859759,1173,0.014859759,0,0.010702583,0.010702583
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.006354542,1423,0.02306981,0.026763466,0.01944233,0.008921209
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.006401655,1273,0.013049588,0.00498595,0.009740666,0.009740666
Ba1Fe12O19,0.05535916,BaO2 + 6 Fe2O3 -> 0.5 O2 + BaFe12O19,-0.035877119,1353,0.139204708,0.254787012,0.143807116,0.010059094
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.020498219,1588,0.036949473,0.052705528,0.032257679,0.006143219
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.010649077,1223,0.010649077,0,0.007669884,0.007669884
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.023519687,1623,0.040284291,0.057585429,0.035017915,0.005463125
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,0.002160645,1323,0.016369762,0.010656838,0.012520786,0.010546759
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.014913633,1523,0.030823014,0.04288672,0.026953277,0.007295659
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.017064767,1548,0.033187384,0.046952658,0.029078422,0.006889272
Ba1Fe12O19,0.05535916,BaO2 + 6 Fe2O3 -> 0.5 O2 + BaFe12O19,0.007119163,773,0.084980941,0.10700904,0.078810226,0.01820911
Ba1Fe12O19,0.05535916,6 Fe2O3 + BaCO3 -> BaFe12O19 + CO2,-0.007211042,1433,0.023748782,0.02837762,0.02013971,0.008758654
