target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Ba6Nd1O7,0.0,0.04,0.016,0.677,0.339,0.645,1.0
Ba6Nd1O8,0.051,-0.006,0.197,0.676,0.217,0.125,1.0
Ba7Nd1O8,0.0,0.043,0.018,0.682,0.37,0.733,1.0
Ba1O2P1,0.197,0.528,0.005,0.947,0.579,0.954,1.0
Ba1O3P2,0.446,0.804,0.006,0.958,0.878,0.709,0.999
Ba1O3P4,0.32,0.876,0.003,0.902,0.763,0.925,1.0
Ba1O4P2,0.259,0.115,0.005,0.964,0.645,0.7,1.0
Ba1O6P5,0.404,0.776,0.003,0.945,0.634,0.814,0.999
Ba1O7P3,0.161,0.31,0.019,0.96,0.726,0.563,1.0
Ba1O7P4,0.261,0.166,0.008,0.958,0.494,0.573,0.999
Ba1O8P3,0.069,0.145,0.768,0.956,0.788,0.677,1.0
Ba2O4P1,0.158,0.229,0.891,0.939,0.67,0.945,1.0
Ba2O5P2,0.283,0.114,0.007,0.952,0.818,0.96,1.0
Ba3O2P1,0.029,0.705,0.011,0.752,0.439,0.134,1.0
Ba3O3P1,0.328,0.616,0.002,0.789,0.419,0.422,0.999
Ba3O5P2,0.268,0.534,0.002,0.937,0.57,0.99,1.0
Ba3O7P4,0.287,0.663,0.002,0.955,0.837,0.921,1.0
Ba4O1P3,0.072,1.072,0.105,0.911,0.818,0.997,1.0
Ba4O1P6,0.115,1.21,0.154,0.993,0.963,0.998,1.0
Ba4O2P3,0.143,0.995,0.286,0.893,0.746,0.999,1.0
Ba5O1P4,0.108,1.114,0.065,0.931,0.711,0.974,1.0
Ba5O2P6,0.225,1.133,0.056,0.978,0.855,0.996,1.0
Ba5O3P2,0.087,0.854,0.024,0.762,0.616,0.694,0.999
Ba5O4P2,0.194,0.774,0.068,0.77,0.25,0.719,1.0
Ba5O7P3,0.133,0.575,0.001,0.926,0.658,0.986,1.0
Ba5O8P2,0.261,0.173,0.007,0.925,0.47,0.923,1.0
Ba6O1P5,0.105,1.108,0.042,0.941,0.791,0.987,0.999
Ba6O5P1,0.11,0.364,0.004,0.744,0.581,1.0,1.0
Ba6O8P1,0.069,-0.009,0.872,0.796,0.476,0.607,1.0
Ba7O1P4,0.0,1.108,0.037,0.837,0.76,0.995,0.999
Ba7O2P4,0.01,1.04,0.031,0.829,0.737,0.996,0.999
Ba7O2P5,0.082,1.046,0.059,0.893,0.738,0.992,0.999
Ba7O3P8,0.198,1.111,0.081,0.972,0.887,1.0,1.0
Ba7O4P5,0.257,0.986,0.227,0.877,0.771,0.997,1.0
Ba7O8P2,0.258,0.423,0.005,0.808,0.343,0.723,1.0
Ba8O1P5,0.017,1.112,0.131,0.855,0.821,0.997,1.0
Ba8O1P7,0.086,1.14,0.151,0.951,0.853,1.0,1.0
Ba8O5P3,0.193,0.851,0.016,0.757,0.515,0.999,0.999
Ba8O7P1,0.093,0.264,0.003,0.743,0.623,1.0,1.0
Ba1O2Pt1,0.066,0.094,0.072,0.662,0.299,0.614,1.0
Ba1O3Pt2,0.199,0.17,0.089,0.459,0.229,0.672,0.998
Ba1O4Pt1,0.044,0.121,0.279,0.848,0.527,0.91,1.0
Ba1O4Pt2,0.005,0.042,0.072,0.644,0.269,0.515,1.0
Ba1O5Pt2,0.0,-0.067,0.585,0.726,0.757,0.577,1.0
Ba1O6Pt2,0.0,-0.028,0.848,0.774,0.556,0.522,1.0
Ba1O7Pt3,0.031,0.051,0.591,0.692,0.498,0.636,1.0
Ba1O7Pt4,0.083,0.183,0.245,0.691,0.521,0.248,0.999
Ba1O8Pt3,0.0,0.052,0.256,0.72,0.521,0.248,1.0
Ba2O3Pt1,0.02,0.066,0.006,0.874,0.554,0.798,1.0
Ba2O4Pt1,0.0,-0.01,0.735,0.899,0.359,0.719,1.0
Ba2O5Pt2,0.142,0.122,0.568,0.775,0.388,0.855,1.0
Ba2O5Pt3,0.199,0.164,0.129,0.458,0.231,0.771,0.999
