target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Bi5La3O4,0.226,0.48,0.061,0.134,0.208,0.689,0.995
Bi5La3O8,0.215,0.286,0.024,0.219,0.16,0.63,0.994
Bi6La8O3,0.146,0.954,0.084,0.882,0.379,0.868,0.998
Bi1O1Te1,0.025,0.251,0.006,0.777,0.686,0.875,0.983
Bi1O1Te4,0.051,0.287,0.001,0.776,0.573,0.998,0.998
Bi1O2Te2,0.083,0.202,0.006,0.778,0.691,0.831,0.999
Bi1O3Te3,0.058,0.186,0.006,0.784,0.512,0.753,0.998
Bi1O4Te2,0.184,0.127,0.028,0.876,0.589,0.507,1.0
Bi1O7Te2,0.098,-0.035,0.971,0.929,0.256,0.539,1.0
Bi1O7Te3,0.055,0.026,0.507,0.913,0.757,0.508,1.0
Bi2O1Te4,0.101,0.297,0.002,0.816,0.524,0.819,0.999
Bi2O1Te5,0.088,0.316,0.002,0.804,0.31,0.862,0.999
Bi2O3Te1,0.13,0.169,0.017,0.783,0.582,0.642,0.979
Bi2O3Te4,0.098,0.235,0.001,0.766,0.78,0.849,0.999
Bi2O3Te5,0.215,0.306,0.001,0.761,0.464,0.657,0.998
Bi2O3Te7,0.224,0.309,0.001,0.761,0.269,0.906,0.999
Bi2O4Te1,0.286,0.189,0.232,0.833,0.234,0.587,0.965
Bi2O6Te5,0.086,0.183,0.002,0.804,0.811,0.849,1.0
Bi2O8Te1,0.215,0.231,0.912,0.915,0.346,0.821,0.999
Bi2O8Te3,0.127,0.016,0.083,0.899,0.735,0.522,0.998
Bi3O1Te4,0.121,0.336,0.013,0.856,0.314,0.69,0.998
Bi3O2Te5,0.048,0.294,0.002,0.806,0.66,0.849,0.995
Bi3O2Te8,0.062,0.301,0.013,0.788,0.31,0.985,0.997
Bi3O8Te2,0.131,0.084,0.021,0.877,0.541,0.556,0.997
Bi4O2Te7,0.159,0.332,0.002,0.824,0.313,0.944,0.995
Bi4O3Te3,0.121,0.286,0.004,0.78,0.59,0.975,0.957
Bi4O5Te5,0.202,0.291,0.004,0.773,0.502,0.795,0.989
Bi5O3Te7,0.078,0.303,0.002,0.82,0.441,0.944,0.995
Bi5O4Te8,0.144,0.306,0.006,0.794,0.381,0.927,0.998
Bi7O5Te8,0.138,0.305,0.003,0.805,0.476,0.961,0.997
Ca1Fe1O4,0.272,0.283,0.212,0.665,0.397,0.466,0.972
Ca1Fe1O5,0.504,0.49,0.21,0.788,0.299,0.45,0.94
Ca1Fe1O6,0.339,0.392,0.048,0.823,0.524,0.4,0.998
Ca1Fe1O8,0.456,0.502,0.039,0.83,0.304,0.106,1.0
Ca1Fe2O2,0.457,0.515,0.001,0.447,0.322,0.669,0.979
Ca1Fe2O3,0.079,0.181,0.206,0.864,0.028,0.239,0.947
Ca1Fe3O4,0.074,0.191,0.154,0.868,0.036,0.203,0.946
Ca1Fe4O7,0.126,0.072,0.983,0.829,0.476,0.761,0.935
Ca1Fe5O6,0.17,0.229,0.037,0.754,0.112,0.521,0.919
Ca1Fe6O8,0.116,0.162,0.154,0.774,0.222,0.547,0.942
Ca2Fe1O3,0.071,0.127,0.278,0.805,0.182,0.153,0.957
Ca2Fe3O5,0.075,0.169,0.669,0.778,0.029,0.087,0.963
Ca3Fe1O4,0.077,0.108,0.275,0.831,0.127,0.284,0.969
Ca3Fe2O5,0.067,0.137,0.878,0.711,0.15,0.239,0.981
Ca3Fe2O6,0.071,-0.006,0.005,0.564,0.565,0.966,0.981
Ca3Fe5O8,0.148,0.191,0.372,0.82,0.043,0.412,0.869
Ca4Fe1O5,0.065,0.085,0.178,0.806,0.183,0.309,0.968
Ca4Fe2O5,0.339,0.34,0.009,0.852,0.205,0.552,0.884
Ca4Fe3O7,0.083,0.144,0.884,0.662,0.068,0.196,0.96
Ca5Fe2O6,0.374,0.348,0.003,0.849,0.201,0.03,0.938
Ca5Fe2O7,0.156,0.151,0.295,0.832,0.462,0.542,0.975
Ca5Fe3O8,0.073,0.138,0.32,0.753,0.109,0.071,0.973
Ca6Fe1O7,0.061,0.064,0.097,0.761,0.333,0.103,0.96
Ca6Fe2O7,0.31,0.302,0.027,0.835,0.148,0.805,0.939
Ca7Fe2O8,0.362,0.327,0.003,0.816,0.323,0.079,0.949
Ca1Ir1O2,0.283,0.22,0.004,0.321,0.255,0.344,0.863
Ca1Ir1O4,0.0,0.022,0.06,0.835,0.408,0.646,0.998
Ca1Ir1O6,0.092,0.277,0.039,0.862,0.653,0.728,1.0
Ca1Ir2O2,0.509,0.363,0.001,0.243,0.377,0.155,0.927
Ca1Ir2O3,0.446,0.336,0.012,0.143,0.587,0.355,0.938
Ca1Ir2O4,0.228,0.184,0.004,0.367,0.441,0.147,0.993
Ca1Ir2O5,0.191,0.092,0.977,0.658,0.308,0.059,0.999
Ca1Ir3O4,0.49,0.354,0.003,0.215,0.229,0.041,0.98
Ca1Ir3O5,0.422,0.31,0.017,0.224,0.218,0.084,0.986
Ca1Ir3O7,0.07,0.037,0.937,0.604,0.619,1.0,0.998
Ca1Ir4O6,0.343,0.28,0.012,0.19,0.376,0.378,0.994
Ca1Ir6O7,0.546,0.382,0.003,0.244,0.363,0.19,0.993
Ca2Ir1O3,0.394,0.278,0.054,0.801,0.329,0.063,0.946
Ca2Ir2O3,0.41,0.309,0.002,0.134,0.562,0.41,0.983
Ca2Ir2O5,0.247,0.185,0.279,0.562,0.462,0.28,0.993
Ca2Ir2O7,0.0,-0.045,0.803,0.8,0.562,1.0,0.999
Ca2Ir3O5,0.438,0.315,0.011,0.134,0.289,0.363,0.981
Ca2Ir3O7,0.211,0.144,0.146,0.547,0.382,0.809,0.996
Ca2Ir3O8,0.145,0.054,0.977,0.695,0.411,0.064,0.994
Ca2Ir5O7,0.493,0.355,0.007,0.181,0.219,0.042,0.991
Ca3Ir1O4,0.307,0.23,0.028,0.82,0.59,0.725,0.989
Ca3Ir1O5,0.067,0.001,0.977,0.831,0.625,0.193,0.996
Ca3Ir2O5,0.328,0.255,0.012,0.68,0.518,0.357,0.974
Ca3Ir2O6,0.191,0.15,0.002,0.73,0.438,0.349,0.993
Ca3Ir2O7,0.096,0.028,0.977,0.766,0.407,0.14,0.992
Ca3Ir4O7,0.439,0.298,0.023,0.157,0.174,0.398,0.986
Ca3Ir5O8,0.465,0.33,0.01,0.129,0.363,0.038,0.947
Ca4Ir2O5,0.43,0.308,0.011,0.686,0.369,0.571,0.885
Ca4Ir3O7,0.418,0.299,0.007,0.587,0.338,0.075,0.991
Ca5Ir2O8,0.257,0.184,0.002,0.831,0.496,0.355,0.993
Ca5Ir3O8,0.417,0.299,0.028,0.741,0.428,0.405,0.988
Ca7Ir1O8,0.186,0.148,0.005,0.758,0.466,0.013,0.963
Ca7Ir2O8,0.393,0.286,0.002,0.771,0.497,0.817,0.986
Ca1O2Pd1,0.123,0.063,0.324,0.745,0.592,0.434,0.995
Ca1O2Pd2,0.293,0.207,0.02,0.611,0.448,0.832,0.998
Ca1O3Pd2,0.148,0.067,0.473,0.809,0.52,0.175,0.991
Ca1O3Pd4,0.324,0.21,0.003,0.696,0.467,0.785,0.997
Ca1O4Pd6,0.465,0.29,0.019,0.767,0.549,0.95,0.999
Ca1O5Pd4,0.247,0.127,0.503,0.854,0.647,0.605,0.996
Ca1O6Pd5,0.246,0.131,0.348,0.858,0.503,0.712,0.998
Ca1O7Pd6,0.159,0.091,0.149,0.86,0.679,0.896,0.994
Ca2O3Pd1,0.078,0.038,0.192,0.793,0.741,0.631,0.998
Ca2O5Pd3,0.148,0.068,0.369,0.766,0.43,0.593,0.997
Ca3O4Pd1,0.101,0.04,0.168,0.787,0.573,0.322,0.987
Ca3O4Pd2,0.23,0.191,0.001,0.739,0.723,0.679,0.996
Ca3O5Pd2,0.116,0.053,0.39,0.779,0.544,0.326,0.995
Ca3O5Pd4,0.336,0.231,0.021,0.665,0.565,0.413,0.998
Ca3O7Pd4,0.232,0.105,0.333,0.751,0.584,0.617,0.998
Ca3O8Pd5,0.208,0.095,0.48,0.781,0.565,0.872,0.993
Ca4O5Pd2,0.182,0.17,0.096,0.758,0.774,0.83,0.998
Ca4O7Pd6,0.334,0.225,0.048,0.642,0.565,0.943,0.998
Ca5O6Pd1,0.141,0.039,0.13,0.77,0.73,0.539,0.991
Ca5O6Pd2,0.233,0.205,0.001,0.772,0.645,0.546,0.996
Ca5O7Pd2,0.157,0.06,0.183,0.792,0.561,0.3,0.987
Ca5O7Pd4,0.36,0.266,0.103,0.728,0.605,0.367,0.997
Ca5O8Pd3,0.133,0.061,0.257,0.786,0.675,0.517,0.998
Ca5O8Pd6,0.403,0.271,0.002,0.683,0.517,0.915,0.998
Ca6O7Pd2,0.204,0.185,0.107,0.778,0.624,0.366,0.984
Ca7O8Pd1,0.103,0.017,0.148,0.762,0.558,0.058,0.974
O1Pb1W2,0.836,0.956,0.004,0.005,0.423,0.062,0.652
O1Pb2W5,1.17,1.101,0.001,0.015,0.384,0.062,0.268
O1Pb3W7,0.811,1.021,0.001,0.009,0.484,0.191,0.62
O2Pb1W3,0.825,0.976,0.004,0.07,0.308,0.482,0.737
O2Pb3W4,1.079,0.961,0.003,0.0,0.54,0.068,0.076
O3Pb1W1,0.163,0.225,0.526,0.6,0.34,0.252,0.797
O3Pb1W5,0.874,1.017,0.005,0.315,0.374,0.047,0.082
O3Pb2W1,0.179,0.302,0.004,0.513,0.59,0.596,0.995
O3Pb2W4,0.873,0.938,0.006,0.014,0.198,0.27,0.003
O3Pb3W1,0.213,0.34,0.001,0.413,0.719,0.958,0.996
O3Pb3W2,0.486,0.596,0.002,0.022,0.325,0.711,0.948
O4Pb3W5,1.27,1.024,0.017,0.005,0.148,0.222,0.067
O5Pb1W1,0.174,0.086,0.474,0.898,0.234,0.615,0.997
O5Pb3W2,0.28,0.394,0.003,0.241,0.276,0.79,0.982
O5Pb3W4,0.726,0.77,0.019,0.003,0.156,0.908,0.281
O5Pb4W1,0.144,0.206,0.002,0.848,0.682,0.874,0.996
O7Pb2W4,0.562,0.68,0.023,0.054,0.131,0.225,0.185
O7Pb3W2,0.164,0.204,0.526,0.75,0.663,0.704,0.994
O8Pb4W3,0.29,0.377,0.445,0.344,0.649,0.906,0.98
Ag1Cr1O1,0.269,0.144,0.0,0.1,0.295,0.918,0.979
Ag1Cr1O3,0.083,0.053,0.903,0.865,0.645,0.999,0.981
Ag1Cr2O2,0.437,0.32,0.002,0.304,0.211,0.082,0.931
Ag1Cr2O3,0.275,0.095,0.18,0.536,0.376,0.892,0.922
Ag1Cr2O5,0.124,0.111,0.905,0.758,0.117,0.452,0.914
Ag1Cr2O6,0.089,0.113,0.866,0.795,0.43,0.934,0.995
Ag1Cr3O4,0.3,0.154,0.102,0.48,0.355,0.814,0.949
Ag2Cr1O3,0.141,0.053,0.542,0.969,0.389,0.688,0.985
Ag2Cr2O3,0.434,0.089,0.155,0.721,0.495,0.937,0.985
Ag2Cr3O4,0.431,0.224,0.003,0.525,0.302,0.564,0.968
Ag2Cr3O8,0.101,0.103,0.102,0.796,0.286,0.877,0.996
Ag2Cr6O5,0.493,0.392,0.005,0.376,0.195,0.061,0.938
Ag3Cr4O5,0.41,0.234,0.01,0.459,0.23,0.692,0.934
Ag3Cr5O4,0.429,0.386,0.001,0.075,0.209,0.88,0.985
Ag3Cr5O7,0.345,0.166,0.066,0.537,0.381,0.965,0.778
Ag4Cr1O3,0.218,0.178,0.037,0.982,0.586,0.999,0.997
Ag4Cr2O7,0.091,0.109,0.907,0.957,0.923,0.999,0.99
Ag4Cr3O5,0.413,0.197,0.074,0.851,0.312,0.998,0.97
Ag5Cr2O7,0.147,0.133,0.836,0.977,0.605,0.972,0.959
Ag6Cr2O5,0.327,0.223,0.055,0.975,0.424,0.988,0.956
Ag6Cr2O7,0.098,-0.017,0.288,0.986,0.707,0.966,0.976
Ag7Cr1O4,0.174,0.154,0.002,0.969,0.55,0.999,0.982
Ag7Cr1O5,0.113,0.045,0.91,0.988,0.665,0.995,0.735
Ag7Cr2O8,0.098,0.124,0.457,0.988,0.865,0.999,0.975
Ag7Cr5O6,0.358,0.251,0.001,0.275,0.158,1.0,0.989
Ca1O3V2,0.159,0.491,0.0,0.11,0.062,0.001,0.738
Ca1O4V3,0.153,0.516,0.0,0.27,0.012,0.0,0.544
Ca1O5V3,0.116,0.289,0.274,0.611,0.126,0.196,0.937
Ca1O5V4,0.316,0.617,0.001,0.447,0.016,0.037,0.843
Ca1O7V4,0.133,0.151,0.536,0.788,0.082,0.403,0.932
Ca1O7V6,0.232,0.595,0.001,0.629,0.033,0.0,0.733
Ca1O8V3,0.088,0.181,0.991,0.858,0.273,0.563,0.994
Ca1O8V6,0.074,0.394,0.004,0.694,0.031,0.0,0.779
Ca1O8V7,0.137,0.56,0.002,0.673,0.056,0.0,0.466
Ca2O3V1,0.09,0.329,0.001,0.608,0.042,0.026,0.851
Ca2O3V2,0.74,0.889,0.005,0.022,0.076,0.146,0.93
Ca2O4V1,0.027,0.071,0.957,0.731,0.596,0.584,0.969
Ca2O5V3,0.235,0.513,0.001,0.092,0.118,0.052,0.888
Ca2O7V3,0.107,0.158,0.946,0.613,0.069,0.171,0.94
Ca2O7V5,0.236,0.538,0.001,0.179,0.003,0.0,0.686
Ca3O4V1,0.085,0.293,0.001,0.712,0.027,0.01,0.89
Ca3O4V2,0.505,0.752,0.004,0.137,0.221,0.18,0.92
Ca3O5V1,0.074,0.069,0.786,0.768,0.172,0.662,0.815
Ca3O6V2,0.118,0.086,0.847,0.6,0.014,0.004,0.852
Ca3O7V4,0.222,0.481,0.002,0.104,0.005,0.0,0.693
Ca3O8V5,0.136,0.465,0.0,0.091,0.004,0.0,0.65
Ca4O5V1,0.23,0.338,0.002,0.724,0.052,0.155,0.924
Ca4O5V2,0.381,0.649,0.004,0.337,0.109,0.016,0.863
Ca4O6V1,0.05,0.072,0.111,0.763,0.68,0.963,0.995
Ca4O7V2,0.205,0.096,0.81,0.695,0.112,0.467,0.782
Ca4O7V3,0.129,0.39,0.002,0.356,0.011,0.0,0.768
Ca5O6V1,0.07,0.248,0.002,0.723,0.098,0.112,0.914
Ca5O7V2,0.197,0.36,0.0,0.682,0.037,0.081,0.823
Ca5O7V4,0.686,0.867,0.005,0.06,0.01,0.029,0.634
Ca5O8V2,0.061,0.047,0.443,0.736,0.053,0.076,0.884
Ca5O8V3,0.107,0.358,0.001,0.508,0.01,0.0,0.817
Ca6O7V1,0.164,0.276,0.002,0.723,0.325,0.331,0.877
Ca6O8V1,0.03,0.045,0.013,0.737,0.42,0.803,0.938
Ce1Gd2O3,0.105,0.86,0.004,0.478,0.447,0.819,0.997
Ce1Gd2O5,0.054,0.019,0.482,0.666,0.227,0.723,0.999
Ce1Gd3O6,0.054,0.15,0.742,0.467,0.728,0.882,0.999
Ce1Gd4O7,0.094,0.271,0.007,0.318,0.372,0.81,0.999
Ce2Gd1O4,0.107,0.519,0.006,0.257,0.469,0.982,0.998
Ce2Gd1O5,0.05,0.118,0.186,0.65,0.053,0.613,0.999
Ce2Gd2O5,0.14,0.587,0.002,0.203,0.53,0.83,0.998
Ce2Gd3O5,0.066,0.857,0.004,0.478,0.266,0.995,0.996
Ce2Gd3O6,0.138,0.627,0.007,0.196,0.686,0.848,0.999
Ce2Gd3O7,0.109,0.347,0.006,0.317,0.363,0.806,0.999
Ce2Gd3O8,0.051,0.089,0.329,0.595,0.528,0.839,0.999
Ce2Gd4O7,0.154,0.66,0.009,0.206,0.332,0.952,0.998
Ce3Gd1O6,0.049,0.322,0.2,0.462,0.705,0.681,0.999
Ce3Gd2O6,0.125,0.662,0.009,0.208,0.297,0.998,0.997
Ce3Gd2O7,0.161,0.453,0.005,0.322,0.249,0.592,0.998
Ce3Gd2O8,0.057,0.164,0.161,0.587,0.152,0.553,0.999
Ce3Gd5O8,0.085,0.866,0.004,0.478,0.34,0.997,0.998
Ce4Gd2O7,0.127,0.719,0.006,0.226,0.46,0.973,0.998
Ce1La1O3,0.052,0.236,0.538,0.474,0.738,0.395,0.999
Ce1La2O4,0.173,0.444,0.009,0.288,0.146,0.456,0.995
Ce1La2O5,0.016,-0.02,0.876,0.643,0.235,0.499,0.999
Ce2La1O5,0.034,0.121,0.569,0.643,0.238,0.478,0.999
Ce3La1O4,0.063,0.939,0.007,0.454,0.412,1.0,0.997
Ce3La1O6,0.055,0.342,0.23,0.474,0.609,0.66,0.998
Ce3La1O7,0.04,0.097,0.348,0.7,0.168,0.411,0.999
Ce3La2O8,0.076,0.191,0.687,0.585,0.554,0.407,0.999
Ce3La4O8,0.17,0.733,0.015,0.27,0.385,0.566,0.998
Ce4La3O7,0.08,0.908,0.002,0.454,0.349,0.996,0.997
Ce1O1Si2,0.226,1.452,0.0,0.535,0.43,0.944,1.0
Ce1O3Si2,0.282,0.936,0.006,0.415,0.464,0.651,1.0
Ce1O4Si2,0.301,0.684,0.004,0.707,0.417,0.826,1.0
Ce2O1Si2,0.072,1.502,0.001,0.583,0.231,0.531,1.0
Ce2O1Si7,0.271,1.659,0.021,0.64,0.729,0.64,1.0
Ce2O2Si1,0.087,1.148,0.001,0.781,0.478,0.895,1.0
Ce2O3Si3,0.238,1.233,0.001,0.351,0.604,0.914,1.0
Ce2O5Si1,0.071,0.264,0.911,0.805,0.555,0.793,1.0
Ce2O5Si3,0.252,0.921,0.007,0.383,0.621,0.914,1.0
Ce3O1Si5,0.165,1.621,0.07,0.859,0.775,0.725,1.0
Ce3O2Si8,0.254,1.597,0.108,0.559,0.623,0.364,1.0
Ce3O4Si8,0.331,1.459,0.001,0.389,0.538,0.707,1.0
Ce3O7Si4,0.317,0.941,0.007,0.376,0.441,0.835,1.0
Ce4O1Si2,0.057,1.678,0.003,0.969,0.625,0.64,1.0
Ce4O2Si1,0.033,1.489,0.002,0.712,0.399,1.0,0.998
Ce4O2Si5,0.195,1.541,0.006,0.714,0.461,0.896,1.0
Ce4O3Si1,0.0,1.229,0.005,0.828,0.374,0.997,0.998
Ce4O5Si7,0.252,1.36,0.001,0.437,0.559,0.911,1.0
Ce4O7Si3,0.208,0.893,0.005,0.452,0.434,0.885,1.0
Ce5O1Si2,0.022,1.731,0.006,0.56,0.601,0.948,0.999
Ce5O1Si7,0.134,1.662,0.064,0.746,0.696,0.953,1.0
Ce5O1Si8,0.125,1.654,0.101,0.846,0.706,0.81,1.0
Ce5O2Si6,0.117,1.571,0.002,0.661,0.606,0.886,1.0
Ce5O4Si3,0.034,1.279,0.001,0.842,0.26,0.818,0.999
Ce6O4Si1,0.0,1.312,0.002,0.679,0.344,1.0,0.998
Ce7O2Si3,0.085,1.666,0.002,0.918,0.682,0.988,1.0
Ce7O2Si4,0.069,1.644,0.001,0.986,0.607,0.98,1.0
Ce7O2Si5,0.075,1.629,0.001,0.962,0.521,0.973,1.0
Ce8O2Si3,0.027,1.691,0.002,0.614,0.515,0.988,0.999
Ce8O2Si7,0.073,1.642,0.001,0.737,0.658,0.964,1.0
Ce8O3Si6,0.193,1.6,0.001,0.902,0.598,0.934,1.0
Ce8O4Si7,0.156,1.519,0.001,0.648,0.517,0.994,1.0
Ce8O5Si2,0.021,1.361,0.002,0.829,0.196,0.901,0.998
Ce1O2Ti1,0.059,0.873,0.004,0.016,0.595,0.395,0.998
Ce1O3Ti2,0.152,0.854,0.003,0.026,0.24,0.833,0.977
Ce1O4Ti3,0.182,0.899,0.003,0.073,0.289,0.666,0.966
Ce1O5Ti4,0.235,0.913,0.003,0.166,0.218,0.16,0.802
Ce1O6Ti3,0.087,0.408,0.704,0.662,0.194,0.296,0.98
Ce1O6Ti4,0.167,0.707,0.002,0.276,0.323,0.375,0.983
Ce1O7Ti4,0.08,0.497,0.002,0.576,0.403,0.74,0.988
Ce1O8Ti3,0.094,0.062,0.955,0.807,0.246,0.924,0.995
Ce1O8Ti4,0.085,0.336,0.875,0.747,0.331,0.632,0.982
Ce2O3Ti1,0.0,0.875,0.015,0.039,0.642,0.678,0.998
Ce2O4Ti1,0.109,0.592,0.003,0.241,0.426,0.979,0.998
Ce2O5Ti2,0.091,0.645,0.002,0.123,0.679,0.513,0.999
Ce2O5Ti3,0.156,0.895,0.008,0.017,0.253,0.883,0.974
Ce2O6Ti1,0.114,0.079,0.913,0.848,0.125,0.31,0.999
Ce2O6Ti3,0.104,0.683,0.002,0.089,0.53,0.453,0.994
Ce2O7Ti4,0.102,0.675,0.006,0.085,0.436,0.588,0.991
Ce2O7Ti5,0.17,0.893,0.003,0.044,0.366,0.19,0.926
Ce2O8Ti3,0.025,0.289,0.932,0.72,0.47,0.638,0.998
Ce2O8Ti5,0.172,0.75,0.003,0.097,0.306,0.596,0.962
Ce3O4Ti1,0.116,0.951,0.014,0.088,0.619,0.772,0.996
Ce3O5Ti1,0.083,0.673,0.004,0.142,0.702,0.976,0.999
Ce3O6Ti1,0.129,0.438,0.064,0.536,0.471,0.95,0.999
Ce3O6Ti2,0.112,0.71,0.004,0.075,0.362,0.528,0.998
Ce3O7Ti1,0.02,0.17,0.148,0.772,0.338,0.449,0.999
Ce3O7Ti2,0.067,0.496,0.015,0.382,0.641,0.725,0.999
Ce3O7Ti4,0.174,0.912,0.008,0.015,0.241,0.807,0.984
Ce3O8Ti1,0.065,0.048,0.863,0.844,0.57,0.553,1.0
Ce3O8Ti2,0.073,0.306,0.755,0.701,0.549,0.31,0.999
Ce3O8Ti5,0.158,0.888,0.007,0.019,0.224,0.825,0.944
Ce4O5Ti1,0.027,0.91,0.004,0.148,0.326,0.815,0.996
Ce4O6Ti1,0.077,0.728,0.003,0.126,0.597,0.982,0.998
Ce4O7Ti1,0.096,0.533,0.004,0.358,0.665,0.902,0.999
Ce4O7Ti2,0.129,0.758,0.004,0.066,0.413,0.857,0.998
Ce4O7Ti3,0.067,0.888,0.009,0.021,0.582,0.963,0.998
Ce4O8Ti1,0.046,0.308,0.449,0.649,0.661,0.796,0.999
Ce5O6Ti1,0.048,0.93,0.003,0.204,0.403,0.919,0.997
Ce5O7Ti2,0.067,0.919,0.025,0.061,0.492,0.966,0.997
Ce5O8Ti2,0.113,0.789,0.009,0.069,0.398,0.937,0.997
Ce5O8Ti3,0.049,0.895,0.013,0.028,0.502,0.869,0.997
Ce6O7Ti1,0.119,0.969,0.002,0.251,0.367,0.968,0.996
Ce6O8Ti1,0.121,0.827,0.015,0.148,0.268,0.91,0.996
Ce7O8Ti1,0.071,0.955,0.003,0.288,0.519,0.985,0.998
Co1Na2O4,0.083,-0.062,0.105,0.832,0.29,0.39,0.934
Co1Na3O1,0.334,0.409,0.001,0.486,0.489,0.331,0.988
Co1Na3O4,0.021,0.004,0.032,0.909,0.284,0.382,0.991
Co1Na3O5,0.125,0.035,0.05,0.889,0.222,0.346,0.981
Co1Na4O5,0.027,0.04,0.05,0.913,0.438,0.612,0.989
Co1Na4O6,0.129,0.029,0.041,0.904,0.39,0.622,0.986
Co1Na5O2,0.174,0.286,0.002,0.745,0.278,0.323,0.999
Co1Na5O6,0.081,0.07,0.054,0.909,0.397,0.895,0.996
Co1Na6O5,0.047,0.079,0.353,0.878,0.274,0.29,0.999
Co1Na7O4,0.058,0.116,0.001,0.827,0.405,0.421,0.999
Co1Na7O5,0.098,0.071,0.187,0.852,0.064,0.329,0.999
Co1Na8O7,0.087,0.127,0.16,0.87,0.338,0.433,1.0
Co2Na2O5,0.113,0.046,0.084,0.671,0.171,0.083,0.762
Co2Na3O5,0.082,0.041,0.252,0.842,0.208,0.467,0.967
Co2Na3O7,0.174,0.052,0.131,0.761,0.211,0.137,0.851
Co2Na4O1,0.476,0.567,0.001,0.071,0.542,0.255,0.992
Co2Na4O3,0.196,0.214,0.001,0.891,0.121,0.291,0.965
Co2Na5O7,0.056,0.016,0.042,0.901,0.32,0.295,0.992
Co2Na6O5,0.056,0.013,0.85,0.926,0.355,0.406,0.995
Co3Na2O7,0.147,0.049,0.149,0.563,0.126,0.219,0.276
Co3Na2O8,0.106,0.015,0.151,0.577,0.153,0.38,0.533
Co3Na4O1,0.529,0.593,0.0,0.004,0.558,0.702,0.994
Co3Na4O7,0.108,0.043,0.327,0.821,0.21,0.156,0.94
Co3Na5O2,0.481,0.506,0.001,0.089,0.417,0.285,0.974
Co3Na7O2,0.39,0.502,0.001,0.212,0.436,0.449,0.993
Co4Na2O7,0.132,0.107,0.22,0.518,0.161,0.106,0.491
Co4Na3O7,0.132,0.063,0.611,0.678,0.061,0.059,0.892
Co4Na5O1,0.593,0.643,0.0,0.001,0.472,0.5,0.993
Co4Na7O3,0.419,0.457,0.001,0.155,0.358,0.444,0.994
Co5Na1O8,0.115,0.153,0.145,0.477,0.054,0.124,0.351
Co5Na2O7,0.159,0.08,0.011,0.423,0.036,0.118,0.679
Co5Na3O4,0.406,0.373,0.0,0.257,0.077,0.13,0.877
Co5Na4O7,0.123,0.06,0.343,0.743,0.125,0.035,0.802
Co7Na2O8,0.209,0.117,0.051,0.299,0.081,0.0,0.843
Co1O1W1,0.772,0.667,0.0,0.675,0.218,0.026,0.95
Co1O3W1,0.134,0.186,0.067,0.326,0.284,0.055,0.705
Co1O5W1,0.179,0.113,0.032,0.767,0.153,0.5,0.992
Co1O7W1,0.477,0.412,0.039,0.815,0.046,0.264,0.961
Co1O7W5,0.753,0.72,0.043,0.057,0.007,0.0,0.0
Co1O8W3,0.144,0.23,0.453,0.658,0.337,0.028,0.049
Co2O4W1,0.122,0.116,0.047,0.297,0.012,0.073,0.491
Co2O4W5,1.078,0.909,0.001,0.617,0.04,0.0,0.021
Co2O5W1,0.113,0.015,0.933,0.595,0.133,0.258,0.788
Co2O5W2,0.404,0.384,0.029,0.118,0.009,0.05,0.147
Co2O5W3,0.764,0.671,0.014,0.109,0.018,0.002,0.073
Co2O5W4,1.069,0.856,0.001,0.25,0.01,0.012,0.053
Co2O7W2,0.107,0.087,0.172,0.598,0.031,0.222,0.899
Co2O8W3,0.158,0.254,0.205,0.366,0.019,0.051,0.117
Co3O4W1,0.327,0.226,0.001,0.234,0.01,0.0,0.177
Co3O7W2,0.216,0.2,0.061,0.303,0.02,0.004,0.242
Co4O1W1,0.498,0.396,0.0,0.77,0.508,0.0,1.0
Co4O6W1,0.158,0.021,0.013,0.315,0.031,0.034,0.633
Co4O8W1,0.115,-0.046,0.94,0.58,0.01,0.084,0.656
Co5O1W1,0.446,0.382,0.0,0.795,0.531,0.0,1.0
Co5O3W2,0.733,0.509,0.001,0.703,0.367,0.0,0.997
Co5O5W1,0.432,0.232,0.003,0.376,0.112,0.099,0.832
Co6O5W1,0.562,0.29,0.001,0.495,0.249,0.021,0.974
Co6O8W1,0.178,0.032,0.009,0.336,0.028,0.001,0.675
Co7O1W3,0.57,0.536,0.0,0.657,0.53,0.0,0.999
Co7O1W4,0.431,0.564,0.001,0.605,0.606,0.0,1.0
Co7O2W3,0.675,0.543,0.0,0.713,0.408,0.0,0.998
Co7O5W6,0.895,0.701,0.0,0.739,0.228,0.0,0.934
Co7O8W3,0.562,0.401,0.002,0.347,0.228,0.053,0.972
Cs1O1V1,0.434,0.842,0.0,0.092,0.102,0.424,0.939
Cs1O4V3,0.258,0.486,0.001,0.673,0.439,0.11,0.988
Cs1O5V3,0.081,0.142,0.345,0.843,0.442,0.761,0.965
Cs1O5V4,0.299,0.545,0.002,0.723,0.255,0.825,0.969
Cs1O8V5,0.07,0.173,0.563,0.872,0.335,0.386,0.965
Cs1O8V7,0.44,0.676,0.003,0.761,0.312,0.174,0.974
Cs2O3V4,0.577,1.012,0.0,0.056,0.261,0.948,0.997
Cs2O4V3,0.193,0.412,0.0,0.355,0.18,0.312,0.993
Cs2O5V2,0.0,0.069,0.963,0.808,0.846,0.592,1.0
